Institution,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Quinnipiac,MAAC,51,"1,319",208,364,82,12,563,31,,93,17,193,11,21,210,41,13,5,,21,8,,366,367,323.2,391,247,172,153,230,7,"1,565","1,350",64,9,23,,36,,34,68,5,,,,20,7,1,337,371,,971,346,59,1,13,62,8,"1,376",13,
Radford,Big South,55,"1,506",257,396,77,8,612,41,,136,45,227,11,32,272,58,20,6,,61,9,,395,423,375.2,385,161,134,69,226,8,"1,602","1,480",67,7,27,,8,,21,49,,,,,25,7,,507,342,,"1,127",514,54,,1,42,16,"1,695",24,
Rhode Island,Atlantic 10,47,"1,212",111,248,52,4,350,14,,117,22,98,7,16,247,61,10,2,,36,6,,325,378,311.1,347,234,188,130,224,,"1,459","1,262",54,6,36,,31,,24,53,2,,,,32,11,,325,354,,934,331,70,,9,71,3,"1,335",13,
Rider,MAAC,50,"1,352",239,369,60,13,509,18,2,124,22,212,8,37,224,62,22,14,,25,4,,424,319,324.1,396,269,196,153,200,1,"1,577","1,346",55,4,22,,39,,27,50,1,,,,34,15,2,457,264,,973,465,89,2,12,76,11,"1,527",14,
Robert Morris,NEC,46,"1,157",155,273,57,5,391,17,,102,29,135,10,29,237,65,11,5,,19,6,,297,336,285.2,387,294,216,204,127,2,"1,493","1,203",69,6,29,,33,,34,38,,,,,35,17,,357,324,,857,380,77,,15,56,11,"1,314",21,
Rutgers,Big Ten,50,"1,372",204,354,45,8,511,32,1,143,16,191,10,21,216,70,19,8,,40,10,,391,393,337.2,462,282,237,138,138,4,"1,637","1,411",87,5,64,,21,,35,39,5,,,,36,17,,366,452,,"1,013",386,60,,7,52,17,"1,459",35,
Sacramento St.,Big Sky,51,"1,371",219,384,66,7,554,30,1,121,30,198,10,35,217,55,14,6,,42,9,,404,364,348.1,319,180,142,142,279,7,"1,544","1,312",68,8,16,,35,,29,84,,,,,40,20,1,359,380,,"1,045",372,46,1,8,57,7,"1,463",11,
Sacred Heart,NEC,56,"1,479",200,359,68,4,534,33,,130,31,170,14,25,258,56,16,7,,10,5,,375,471,379.1,250,131,105,158,417,13,"1,598","1,361",39,7,22,,12,,57,109,,,,,16,5,1,375,309,,"1,137",394,39,1,8,49,11,"1,570",9,
Saint Francis (PA),NEC,58,"1,502",313,401,66,10,736,83,1,192,54,296,12,16,312,71,11,6,,58,11,,355,422,381,333,181,142,112,295,12,"1,668","1,467",50,10,32,,27,,59,88,,,,,23,7,,368,457,,"1,143",374,54,,5,32,4,"1,571",13,
Saint Joseph's,Atlantic 10,49,"1,327",200,368,57,8,492,17,,129,41,177,14,17,230,78,9,3,,39,9,,346,372,325,353,201,149,123,177,4,"1,493","1,306",46,6,29,,20,,31,55,2,,,,22,11,,383,370,,975,394,69,,8,33,10,"1,438",14,
Saint Louis,Atlantic 10,57,"1,485",218,392,68,6,598,42,2,124,22,197,10,18,278,74,18,5,,32,7,,379,424,370,422,242,197,143,250,7,"1,724","1,512",78,3,31,,21,,32,77,,,,,28,9,,459,353,,"1,110",462,67,,8,68,10,"1,639",14,
Saint Mary's (CA),WCC,49,"1,256",143,293,48,10,403,14,1,130,33,123,5,23,231,46,8,2,,71,12,,354,361,315.2,418,254,196,122,166,2,"1,537","1,347",79,13,31,,13,,29,56,,,,,25,14,,392,351,,947,390,62,,10,69,12,"1,399",7,
Saint Peter's,MAAC,48,"1,160",124,281,45,3,380,16,,63,13,113,10,18,254,75,15,8,,40,12,,311,307,290,497,368,290,152,94,2,"1,563","1,319",93,9,35,,21,,38,45,1,,,,29,25,,406,315,,868,408,84,,22,46,13,"1,360",12,
Sam Houston,Southland,57,"1,505",194,385,71,10,557,27,1,84,15,168,14,37,201,48,17,4,,39,12,,487,422,379.1,410,248,210,156,294,8,"1,738","1,493",94,11,35,,11,,39,70,,,,,35,14,1,289,513,,"1,138",314,43,1,1,54,13,"1,495",8,
Samford,SoCon,57,"1,485",240,391,62,8,577,36,1,166,20,219,10,26,286,65,11,3,,64,9,,374,421,362.1,464,333,270,163,141,1,"1,783","1,522",84,12,53,,45,,40,43,,,,,39,19,,497,407,,"1,087",505,85,,14,68,8,"1,677",21,
San Diego,WCC,52,"1,385",185,357,52,8,479,18,3,150,13,163,14,44,199,69,19,2,,60,15,,454,375,359,397,209,170,119,220,2,"1,631","1,437",80,9,16,,27,,34,53,2,,,,29,12,,468,348,,"1,077",470,57,,5,48,12,"1,604",21,
San Diego St.,Mountain West,51,"1,342",147,330,42,3,420,14,,120,32,127,6,27,240,63,15,7,,51,20,,462,282,345,364,191,158,111,180,4,"1,527","1,356",52,11,35,,14,,16,62,4,,,,34,10,,437,375,,"1,035",453,58,,9,41,11,"1,546",16,
San Jose St.,Mountain West,49,"1,282",279,362,60,7,556,40,3,220,28,247,15,5,178,67,22,16,,19,6,,375,343,322,371,200,151,107,125,4,"1,450","1,301",52,10,32,,29,,13,41,1,,,,21,7,1,534,249,,966,533,54,1,10,25,11,"1,553",28,
Santa Clara,WCC,46,"1,196",107,263,43,3,315,1,,111,25,91,7,23,222,89,17,8,,60,15,,396,299,304,346,259,226,212,134,2,"1,476","1,174",76,8,30,,41,1,30,34,,,,,43,17,,279,442,,911,312,42,,3,38,17,"1,265",13,
Savannah St.,MEAC,36,943,164,255,40,8,344,11,1,94,22,142,4,18,169,34,13,4,,61,8,,257,242,235,301,186,145,90,123,5,"1,118",990,44,4,26,,13,,18,40,,,,,14,6,,225,309,,705,259,68,,3,51,21,"1,032",12,
Seattle U,WAC,56,"1,593",268,443,64,8,631,36,7,171,25,240,9,23,239,69,22,5,,81,15,,484,382,397,393,220,174,160,288,9,"1,771","1,546",59,10,32,,31,,28,62,6,,,,29,8,,559,293,,"1,191",554,58,,13,46,9,"1,803",24,
Seton Hall,Big East,54,"1,405",193,348,67,2,527,36,,155,13,182,9,24,261,81,15,5,,46,12,,388,403,355,523,318,248,120,182,3,"1,739","1,559",93,12,38,,26,,18,42,1,,,,30,12,,503,317,,"1,065",530,91,,9,51,17,"1,686",19,
SFA,Southland,55,"1,426",231,372,65,14,564,33,,128,61,207,15,49,211,62,16,8,,20,6,,423,424,369,352,187,148,190,291,7,"1,662","1,408",54,5,30,,14,,21,79,,,,,33,10,,417,340,,"1,107",443,60,,4,60,17,"1,610",14,
Siena,MAAC,44,"1,155",137,288,62,2,387,11,1,99,19,121,2,27,169,56,14,8,,24,5,,341,344,288.2,278,165,135,160,216,7,"1,328","1,111",49,3,11,,31,,16,59,,,,,32,9,,410,203,,866,424,61,,4,59,12,"1,351",14,
SIUE,OVC,46,"1,146",166,297,59,8,465,31,2,109,44,148,8,35,237,53,7,1,,64,22,,291,335,301,271,153,138,133,277,8,"1,357","1,163",71,11,26,,12,,35,105,,,,,23,3,,258,347,,903,260,31,,9,40,5,"1,194",7,
South Alabama,Sun Belt,56,"1,487",203,378,53,8,543,32,,165,22,188,15,30,268,63,11,8,,28,10,,415,428,380,332,181,140,140,312,11,"1,674","1,447",62,5,27,,22,,54,89,8,,,,24,8,1,344,454,,"1,140",372,60,1,3,56,11,"1,572",12,
South Carolina,SEC,66,"1,659",325,451,87,11,755,65,,166,86,309,17,6,294,78,21,3,,41,8,,410,493,433.1,343,149,130,144,303,17,"1,789","1,599",55,2,29,,17,,24,90,,,,,14,7,1,465,477,,"1,300",467,38,1,11,41,7,"1,805",31,
South Carolina St.,MEAC,33,759,59,133,27,1,168,2,,71,10,48,2,18,216,67,9,3,,22,3,,228,171,201.2,309,276,196,148,45,,"1,094",891,63,11,20,,42,,17,10,,,,,26,12,,230,278,,605,259,71,,26,107,12,935,17,
South Dakota,Summit League,55,"1,454",243,412,78,8,665,53,2,134,35,217,9,7,286,80,15,6,,27,12,,316,417,339.2,529,359,287,167,162,3,"1,752","1,506",86,13,54,,27,,19,53,,,,,40,20,,357,441,,"1,019",380,92,,14,61,13,"1,491",27,
South Dakota St.,Summit League,55,"1,527",356,492,94,11,755,49,,187,27,324,14,25,202,72,12,2,,24,8,,344,468,352.2,416,238,196,155,194,6,"1,643","1,437",73,6,45,,10,,11,53,4,,,,26,14,,387,441,,"1,058",394,45,,7,42,6,"1,497",16,
South Fla.,AAC,62,"1,516",265,429,60,7,638,45,,152,26,250,16,59,226,77,17,5,,59,15,,432,462,408,376,191,144,119,324,13,"1,770","1,572",43,6,32,,20,,36,106,12,,,,38,5,,462,401,,"1,224",468,70,,7,29,7,"1,762",13,
Southeast Mo. St.,OVC,53,"1,349",258,362,63,18,572,37,,166,33,230,14,24,297,71,17,8,,70,17,,362,326,346.2,345,193,162,123,260,6,"1,530","1,349",52,5,42,,19,,26,85,7,,,,27,5,,331,404,,"1,040",356,43,,3,28,10,"1,439",18,
Southeastern La.,Southland,59,"1,547",319,438,69,20,610,21,,153,52,253,19,39,184,50,16,6,,184,35,,480,415,395.1,366,216,169,151,196,7,"1,737","1,501",60,9,37,,23,,27,50,3,,,,34,24,1,425,515,,"1,183",446,81,1,9,55,11,"1,710",19,
Southern Ill.,MVC,53,"1,421",249,381,61,4,591,47,9,158,47,228,14,43,251,82,16,8,,33,10,,383,423,362.1,367,206,155,118,272,6,"1,610","1,416",56,6,34,,10,,34,98,,,,,32,10,,337,441,,"1,087",342,57,,9,27,13,"1,486",14,
Southern Miss.,C-USA,55,"1,437",203,379,55,11,510,18,,114,43,174,15,48,228,65,9,3,,61,16,,454,384,368.1,433,264,207,152,192,6,"1,723","1,497",58,7,45,,26,,19,30,,,,,41,14,,516,358,,"1,105",530,68,,4,49,14,"1,703",15,
Southern U.,SWAC,40,"1,023",184,286,51,5,422,25,1,126,22,158,11,33,161,39,9,1,,86,17,,272,310,256.1,292,217,161,137,127,4,"1,231","1,024",54,7,6,,32,,13,24,,,,,43,14,,312,279,,769,328,86,,18,50,20,"1,183",8,
Southern Utah,Big Sky,47,"1,139",171,308,56,9,505,41,1,99,24,159,16,28,257,67,11,9,,25,15,,298,283,279.2,425,361,303,203,131,3,"1,516","1,237",68,7,53,,38,1,30,31,1,,,,28,16,2,336,334,,839,342,70,2,15,84,8,"1,251",13,
St. Bonaventure,Atlantic 10,42,"1,049",134,254,54,11,360,10,,93,19,111,4,7,198,54,14,6,,44,4,,336,232,251,397,284,234,121,125,2,"1,311","1,109",68,10,39,,17,,29,35,1,,,,34,18,,257,343,,753,250,58,,2,56,12,"1,061",6,
St. John's (NY),Big East,50,"1,393",269,420,66,4,680,62,,146,25,241,10,11,230,66,16,7,,53,15,,397,319,324.2,400,260,222,148,223,4,"1,570","1,362",65,17,36,,15,,27,56,,,,,23,10,,366,360,,974,357,57,,6,61,9,"1,388",6,
Stanford,Pac-12,55,"1,392",202,358,50,17,481,13,1,124,56,182,16,26,216,67,17,9,,55,12,,437,375,357.2,362,218,190,146,224,10,"1,620","1,397",63,17,38,,16,,38,53,2,,,,31,8,,386,432,,"1,073",369,39,,2,24,8,"1,481",12,
Stetson,ASUN,51,"1,262",210,346,42,8,491,29,2,155,27,191,14,26,226,53,20,10,,89,12,,353,331,326.1,360,212,159,133,156,8,"1,505","1,304",55,11,23,,18,,27,35,11,,,,30,11,,433,351,,979,437,57,,14,51,14,"1,473",13,
Stony Brook,America East,47,"1,206",183,316,56,5,454,24,1,106,35,153,9,40,197,42,7,4,,28,6,,364,319,308.2,334,191,144,117,183,7,"1,412","1,230",44,13,29,,21,,35,53,,,,,16,14,,345,351,,926,374,50,,11,41,4,"1,350",20,
Syracuse,ACC,50,"1,327",218,356,56,21,496,14,,149,43,186,10,32,223,60,12,4,,58,8,,404,341,339,248,145,114,155,390,11,"1,450","1,249",54,3,22,,40,,22,93,,,,,19,4,1,306,288,,"1,017",297,44,1,4,30,6,"1,358",10,
Tennessee,SEC,62,"1,658",360,508,71,8,751,52,1,230,38,315,12,19,238,83,18,5,,66,10,,502,384,409.2,326,176,145,148,374,17,"1,765","1,531",46,6,44,,29,,44,97,2,,,,30,12,,422,401,,"1,229",411,56,,15,42,7,"1,696",19,
Tennessee St.,OVC,52,"1,189",103,236,43,3,312,9,2,117,26,88,4,51,286,71,17,8,,54,8,,376,307,313.2,440,351,282,153,135,2,"1,591","1,337",72,18,41,,34,,48,53,,,,,33,20,,401,363,,941,411,76,,13,127,13,"1,428",13,
Tennessee Tech,OVC,49,"1,270",186,323,63,1,502,38,1,94,19,164,5,12,244,59,20,17,,23,7,,370,309,310,402,281,217,180,172,2,"1,544","1,291",90,4,27,,65,,30,57,,,,,26,17,,380,335,,930,399,61,,25,90,20,"1,390",5,
Texas,Big 12,59,"1,494",204,401,78,4,562,25,1,141,33,187,12,47,251,55,14,5,,37,15,,431,421,394.2,328,162,138,136,319,17,"1,679","1,475",63,4,32,,12,,28,100,,,,,29,10,1,384,449,,"1,184",374,39,1,3,32,8,"1,597",13,
Texas A&M,SEC,62,"1,586",299,469,78,8,713,50,2,206,31,275,11,24,231,69,33,16,,53,7,,438,448,413.2,333,154,131,173,309,17,"1,784","1,510",43,2,26,,17,,54,84,1,,,,39,7,1,486,395,,"1,241",498,41,1,6,10,13,"1,780",24,1
Texas Southern,SWAC,43,"1,144",224,337,51,7,456,18,3,118,19,190,9,23,154,42,8,3,,87,8,,338,306,283.2,300,180,132,106,200,9,"1,306","1,126",46,6,14,,24,,31,51,,,,,38,5,,332,286,,851,342,58,,11,37,11,"1,251",9,
Texas St.,Sun Belt,59,"1,527",244,427,64,15,623,34,3,183,23,217,17,55,224,69,27,6,,55,12,,436,479,414,327,140,107,67,411,12,"1,668","1,542",42,5,34,,12,,20,94,,,,,31,8,,350,447,,"1,242",371,55,,6,29,17,"1,668",12,
Texas Tech,Big 12,59,"1,618",267,476,82,19,746,50,1,131,25,248,15,25,290,85,12,4,,72,30,,393,450,399.2,431,264,216,167,233,4,"1,836","1,592",72,10,43,,28,,37,59,5,,,,29,11,,512,404,,"1,199",520,66,,2,42,11,"1,785",23,
Toledo,MAC,58,"1,525",258,394,76,7,616,44,7,198,46,236,12,43,232,59,19,8,,57,17,,442,463,401,387,203,156,158,239,10,"1,792","1,562",52,11,26,,17,,33,72,6,,,,30,9,,458,459,,"1,203",471,76,,5,42,16,"1,750",12,
Towson,CAA,61,"1,595",377,522,101,8,798,53,1,183,26,347,23,36,201,55,16,2,,59,13,,434,444,391,424,235,189,156,215,8,"1,779","1,559",59,2,39,,18,,29,75,,,,,25,8,2,483,419,,"1,173",500,66,2,4,23,15,"1,739",19,
Troy,Sun Belt,60,"1,620",258,425,73,4,617,37,,140,43,233,18,41,237,36,12,5,,63,13,,432,526,414.1,391,218,190,195,263,8,"1,834","1,558",69,12,41,,21,,25,48,,,,,37,18,,347,582,,"1,243",365,41,1,4,35,13,"1,649",25,
Tulsa,AAC,59,"1,534",255,416,66,15,602,30,5,161,21,237,20,27,211,55,22,7,,46,8,,501,403,384.2,369,188,150,124,415,10,"1,664","1,485",47,6,44,,27,,21,82,,,,,23,11,,318,386,,"1,154",334,46,,3,31,20,"1,534",12,
UAB,C-USA,59,"1,599",217,419,79,10,620,34,5,161,29,200,13,30,202,54,18,5,,33,21,,525,431,396.1,432,262,185,156,274,7,"1,854","1,601",81,13,31,,20,,37,81,,,,,44,16,,481,399,,"1,189",468,101,,14,57,9,"1,758",17,
UC Davis,Big West,51,"1,348",161,337,50,5,448,17,1,111,32,141,7,34,228,60,23,10,,28,6,,422,355,352.2,280,137,111,120,263,10,"1,520","1,313",42,6,23,,18,,46,80,,,,,33,8,,299,477,,"1,058",294,44,,14,36,5,"1,396",5,
UC Riverside,Big West,62,"1,568",272,443,64,17,607,22,2,174,56,244,15,33,234,77,27,12,,34,11,,473,417,407.1,370,205,162,184,318,16,"1,795","1,556",59,4,29,,28,,17,88,,,,,29,9,,382,468,,"1,222",392,56,,2,28,11,"1,670",18,
UC Santa Barbara,Big West,54,"1,455",206,399,59,8,549,25,5,140,21,184,15,37,182,33,26,10,,24,6,,470,393,357,475,333,250,154,198,4,"1,803","1,521",72,26,37,,32,,64,50,3,,,,36,27,,420,409,,"1,071",418,97,1,8,86,7,"1,586",18,
UCF,AAC,56,"1,399",205,359,51,11,519,29,1,149,24,180,6,33,279,64,18,11,,47,12,,338,405,368,374,179,133,163,208,9,"1,645","1,415",44,1,25,,23,,24,60,,,,,32,10,1,447,384,,"1,104",478,63,1,13,32,18,"1,645",21,
UCLA,Pac-12,65,"1,742",411,584,88,15,906,68,3,191,27,377,23,23,272,64,32,12,,41,7,,394,471,428.2,297,144,112,140,478,18,"1,782","1,566",58,7,24,,23,,47,106,4,,,,22,6,1,423,353,,"1,286",410,54,1,13,24,9,"1,750",18,
UConn,AAC,55,"1,379",148,290,48,,410,24,,132,31,134,8,36,294,86,9,2,,23,9,,442,353,360.1,347,207,157,136,292,5,"1,613","1,395",54,10,34,,19,,28,71,,,,,43,10,1,347,411,,"1,079",345,67,1,5,51,15,"1,491",9,
UIC,Horizon,54,"1,440",246,418,63,10,573,24,,160,17,217,12,27,252,83,12,5,,104,16,,444,304,355.1,360,197,168,168,227,10,"1,618","1,372",43,9,23,,16,,38,79,1,,,,29,10,1,435,342,,"1,066",466,51,1,5,63,20,"1,583",20,
UIW,Southland,49,"1,212",126,265,35,3,369,21,,118,30,113,4,28,253,78,17,11,,18,2,,373,309,314,429,271,222,110,149,1,"1,526","1,330",67,12,33,,21,,28,62,1,,,,37,19,2,274,483,,942,283,69,2,4,75,12,"1,294",8,
ULM,Sun Belt,53,"1,465",307,443,69,7,571,15,1,140,68,259,14,23,188,44,20,8,,86,16,,428,393,348.1,478,267,214,109,124,4,"1,637","1,474",91,6,51,,10,,16,40,4,,,,22,16,,393,473,,"1,045",416,59,,11,56,12,"1,520",22,
UMass Lowell,America East,49,"1,299",175,328,74,5,490,26,1,144,19,154,10,16,247,66,15,9,,14,4,,361,339,320.1,356,206,158,85,229,6,"1,428","1,290",73,9,22,,22,,24,51,,,,,14,15,,313,377,,961,321,60,,15,76,10,"1,342",15,
UMBC,America East,43,"1,125",166,283,35,8,379,15,,102,52,135,9,15,195,54,8,3,,46,8,,367,264,280,365,254,196,92,99,1,"1,335","1,191",71,10,45,,61,,18,38,,,,,23,10,,365,347,,840,371,61,1,21,34,9,"1,272",6,
UMES,MEAC,39,956,102,207,36,2,259,4,,80,5,89,1,21,201,50,13,5,,33,11,,295,224,231,373,291,221,119,125,,"1,230","1,059",51,12,31,,36,,21,38,,,,,17,14,,205,314,,693,229,78,,15,73,18,"1,000",13,
UNC Greensboro,SoCon,59,"1,522",320,415,84,4,681,58,,195,67,298,15,56,282,65,13,4,,16,3,,425,415,401.2,320,146,119,142,341,14,"1,688","1,496",50,4,31,,26,,17,68,,,,,26,6,1,476,347,,"1,205",470,51,1,8,28,13,"1,726",21,
UNCW,CAA,49,"1,210",148,290,41,5,401,20,,103,37,131,13,33,200,62,14,5,,60,26,,380,332,319.2,345,206,158,148,228,6,"1,489","1,269",62,10,25,,16,,35,70,,,,,30,7,,396,294,,959,386,53,,10,45,12,"1,398",16,
UNI,MVC,52,"1,424",213,411,61,5,539,19,2,149,44,196,12,12,152,50,11,2,,44,13,,387,457,348.1,374,193,150,125,200,10,"1,565","1,389",48,6,24,,17,,16,70,,,,,22,13,,472,333,,"1,045",466,54,,6,29,11,"1,565",21,
UNLV,Mountain West,53,"1,412",212,388,66,6,526,20,2,122,18,191,9,39,166,30,15,5,,31,8,,435,413,364,385,174,147,101,244,8,"1,605","1,432",53,7,27,,9,,38,101,,,,,27,7,,493,300,,"1,092",464,43,,3,25,17,"1,599",27,
USC Upstate,ASUN,54,"1,385",249,384,58,9,568,36,3,154,30,216,14,36,176,54,12,3,,106,12,,444,385,355.2,282,149,120,124,309,11,"1,489","1,302",48,2,39,,11,,22,74,3,,,,31,10,,338,383,,"1,067",339,40,,3,40,9,"1,446",16,
UT Arlington,Sun Belt,58,"1,556",251,408,45,9,570,33,,158,35,215,13,57,201,64,23,10,,72,12,,468,482,398.1,429,230,196,134,100,8,"1,789","1,548",64,3,58,,12,,47,31,1,,,,48,12,,456,581,,"1,195",459,50,,1,32,11,"1,704",30,
UT Martin,OVC,57,"1,460",183,380,57,8,501,16,,134,34,165,11,58,205,51,7,3,,132,30,,469,438,385,421,203,165,103,136,6,"1,686","1,497",53,5,35,,7,,19,59,1,,,,57,10,,485,480,,"1,155",496,52,,1,39,11,"1,703",30,
Utah,Pac-12,50,"1,271",210,349,75,8,512,24,1,98,29,192,12,28,233,57,16,2,,20,12,,366,323,318,339,220,174,146,318,6,"1,485","1,281",56,16,27,,32,,24,83,1,,,,25,8,1,367,234,,954,362,66,1,11,30,10,"1,382",13,
Utah St.,Mountain West,52,"1,398",211,381,49,13,570,38,1,131,31,183,13,20,291,78,12,8,,79,15,,402,308,338.2,419,277,193,148,221,6,"1,646","1,431",73,8,27,,28,,29,84,,,,,23,15,,477,279,,"1,016",460,97,,8,52,10,"1,573",17,
Utah Valley,WAC,52,"1,422",241,401,64,7,602,41,2,161,36,218,16,15,254,78,21,8,,58,5,,377,376,340,463,323,226,170,182,,"1,693","1,444",68,9,49,,20,,18,62,,,,,47,14,,415,369,,"1,020",451,91,,12,61,12,"1,562",19,1
UTEP,C-USA,54,"1,418",229,406,70,12,602,34,2,111,26,206,8,35,231,66,17,4,,28,4,,424,337,344,418,316,271,282,233,5,"1,732","1,362",55,6,39,,45,,26,70,,,,,44,18,,406,321,,"1,032",448,58,,7,94,30,"1,538",22,
UTSA,C-USA,50,"1,298",169,298,49,2,468,39,1,163,24,155,11,6,256,75,11,2,,26,7,,294,434,334,399,208,160,75,111,5,"1,516","1,360",63,8,46,,13,,28,39,,,,,43,10,,371,475,,"1,002",379,58,,8,49,11,"1,439",17,
Valparaiso,MVC,51,"1,308",165,300,45,8,442,27,,115,21,146,10,29,299,76,9,3,,44,9,,319,383,339,337,172,130,126,281,9,"1,528","1,342",52,5,31,,25,,30,55,,,,,20,10,,423,276,,"1,017",430,64,,6,55,10,"1,511",14,
Villanova,Big East,53,"1,389",259,390,73,9,580,33,,115,21,235,12,13,192,59,13,4,,54,13,,369,407,340,423,283,242,179,144,2,"1,649","1,386",78,8,46,,24,,34,44,6,,,,35,15,,380,443,,"1,020",389,47,,9,43,8,"1,456",13,
Virginia,ACC,53,"1,420",223,375,72,9,621,52,1,139,19,210,8,6,244,44,15,5,,23,6,,353,420,333.2,461,379,308,285,160,1,"1,799","1,430",87,18,38,,82,,27,61,1,,,,38,18,1,446,338,,"1,001",480,103,1,21,84,13,"1,584",23,
Virginia Tech,ACC,53,"1,411",172,340,69,8,530,35,1,161,13,152,9,26,238,61,17,7,,39,10,,389,434,355.2,256,171,119,142,316,8,"1,512","1,296",41,6,17,,37,,45,74,,,,,22,7,,449,266,,"1,067",459,48,,12,43,15,"1,574",16,
Wagner,NEC,43,"1,115",158,277,52,1,385,18,1,95,20,146,9,20,213,57,12,5,,19,6,,332,284,274.2,364,223,175,80,148,4,"1,308","1,160",65,11,20,,13,,20,42,,,,,33,15,,326,330,,824,317,52,,5,49,3,"1,193",6,
Washington,Pac-12,62,"1,662",358,517,96,12,814,59,1,199,36,322,11,30,285,72,16,8,,73,13,,452,400,409.2,250,81,69,95,470,25,"1,602","1,470",36,1,17,,15,,21,133,2,,,,12,4,,412,325,,"1,229",397,35,,5,33,4,"1,661",14,
Weber St.,Big Sky,54,"1,443",278,422,64,7,590,30,1,142,14,229,19,48,243,76,12,3,,83,14,,421,342,347.2,418,230,167,117,199,3,"1,621","1,437",56,6,33,,22,,31,68,,,,,27,8,1,436,343,,"1,043",474,88,1,5,33,18,"1,605",27,
Western Caro.,SoCon,52,"1,303",174,293,55,3,486,44,,113,27,152,9,27,250,61,10,3,,17,3,,353,383,324.2,441,307,261,181,209,3,"1,640","1,360",75,11,49,,14,,45,54,,,,,43,10,1,344,374,,974,378,76,1,9,52,13,"1,428",15,
Western Ill.,Summit League,48,"1,269",168,340,51,11,473,20,1,122,21,153,9,26,242,68,11,3,,15,5,,330,366,313.1,380,223,209,97,242,5,"1,430","1,268",72,13,40,,17,,22,69,,,,,30,13,,279,376,,940,288,37,,7,39,15,"1,265",11,
Western Ky.,C-USA,54,"1,417",269,394,73,14,615,40,1,182,24,236,12,49,285,76,22,8,,66,15,,376,368,362.2,397,232,189,133,237,6,"1,637","1,448",83,5,34,,22,,15,58,1,,,,31,10,,438,363,,"1,088",452,62,,6,31,13,"1,602",16,
Western Mich.,MAC,54,"1,519",242,438,76,6,655,43,3,121,28,218,13,63,225,58,13,5,,22,1,,454,429,378.2,372,224,177,162,238,4,"1,701","1,477",51,10,45,,14,,13,71,3,,,,35,14,,427,434,,"1,136",434,61,,10,45,14,"1,631",9,
Wichita St.,AAC,55,"1,456",269,401,69,10,667,59,2,155,37,243,13,47,271,87,14,7,,32,6,,384,399,360.2,358,233,177,186,273,5,"1,668","1,422",56,18,22,,45,,25,74,4,,,,26,8,1,461,306,,"1,082",433,70,1,2,30,9,"1,585",21,
Winthrop,Big South,49,"1,246",141,294,51,1,419,24,,95,14,122,3,55,240,46,14,7,,36,10,,403,326,324.1,338,202,171,99,217,4,"1,430","1,272",68,10,34,,18,,20,55,1,,,,29,9,1,282,441,,973,285,50,1,3,59,7,"1,308",13,
Wisconsin,Big Ten,52,"1,296",237,337,71,3,510,32,2,200,26,219,14,38,311,93,18,11,,79,27,,336,322,343.1,356,188,147,121,228,7,"1,541","1,351",55,8,27,,7,,30,60,6,,,,28,11,,466,287,,"1,030",446,67,,6,40,16,"1,543",19,
Wright St.,Horizon,53,"1,361",177,314,48,5,423,17,,160,26,150,18,14,254,85,14,9,,79,18,,380,401,354,385,236,175,130,201,7,"1,636","1,417",59,9,29,,16,,37,71,2,,,,40,12,,438,383,,"1,059",435,77,,8,42,10,"1,571",9,
Yale,Ivy League,40,"1,078",105,268,41,5,352,11,1,100,14,84,5,33,166,49,9,5,,41,10,,370,274,272.2,306,169,132,93,185,5,"1,240","1,096",58,8,18,,13,,11,60,4,,,,32,8,,345,254,,818,331,47,,4,36,8,"1,196",11,
Youngstown St.,Horizon,51,"1,358",227,378,64,10,555,31,,154,17,197,9,43,307,86,13,5,,49,3,,362,311,334,383,211,167,116,250,4,"1,533","1,356",50,10,19,,17,,24,86,,,,,32,5,,402,316,,"1,002",401,58,,13,74,8,"1,461",14,
