Institution,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Eastern Ky.,OVC,66,"1,700",339,466,84,5,821,87,1,202,33,322,8,21,296,81,22,12,,76,13,,435,491,435.1,414,232,190,189,295,14,"1,941","1,670",60,7,35,,21,,28,71,2,,,,46,8,,522,448,,"1,306",516,56,,7,51,11,"1,878",21,
Eastern Mich.,MAC,50,"1,274",141,288,56,4,397,15,8,114,29,122,9,30,253,75,15,8,,28,8,,376,339,326,421,298,217,166,196,3,"1,634","1,396",66,5,39,,25,,33,67,8,,,,25,14,,310,440,,978,322,82,,18,52,5,"1,382",11,
Elon,CAA,52,"1,354",210,367,71,12,522,20,3,129,29,178,10,37,246,61,14,6,,19,4,,342,400,342,386,225,185,143,174,5,"1,566","1,355",64,4,33,,21,,14,34,6,,,,44,10,,385,420,,"1,026",385,61,,6,53,10,"1,472",21,
ETSU,SoCon,46,"1,199",167,304,47,1,431,26,,99,13,147,14,13,182,43,14,7,,43,9,,339,359,296.2,313,182,157,119,213,6,"1,336","1,169",48,6,42,,11,,11,52,,,,,32,5,,298,351,,890,305,41,,10,30,8,"1,236",10,
Evansville,MVC,49,"1,341",150,302,46,4,458,34,2,131,24,140,2,30,362,87,10,3,,25,11,,337,329,345,346,195,144,131,365,5,"1,592","1,374",54,6,19,,29,,46,108,2,,,,34,7,,353,291,,"1,031",348,65,,11,87,8,"1,444",7,
Fairfield,MAAC,53,"1,382",206,356,69,7,499,20,1,156,33,183,12,38,248,65,23,5,,47,13,,430,340,350.1,387,248,209,168,235,6,"1,633","1,388",67,7,45,,40,,25,78,1,,,,29,21,2,349,435,,"1,051",344,49,2,6,46,12,"1,444",13,
Fairleigh Dickinson,NEC,43,"1,076",147,275,43,8,355,7,,103,21,122,9,37,210,47,7,3,,18,3,,351,240,270.2,359,225,180,76,150,3,"1,299","1,149",69,11,29,,9,,31,54,4,,,,24,19,,291,345,,812,291,57,,5,65,9,"1,160",8,
FGCU,ASUN,56,"1,462",193,366,55,13,540,31,3,112,23,177,11,29,270,66,19,12,,54,12,,398,415,394.2,333,152,109,139,301,10,"1,696","1,501",42,6,20,,17,,21,101,11,,,,25,7,3,450,399,,"1,184",440,62,3,5,57,11,"1,686",12,
FIU,C-USA,55,"1,465",210,384,56,5,516,22,1,139,25,186,8,27,211,55,18,13,,39,18,,497,365,380.1,316,166,137,160,367,9,"1,630","1,400",51,6,33,,16,,31,113,1,,,,30,7,2,312,402,,"1,141",350,45,2,6,45,21,"1,536",20,
Fla. Atlantic,C-USA,56,"1,543",233,420,63,4,578,29,9,169,20,195,12,53,318,69,26,10,,126,21,,436,374,403,390,211,161,120,220,10,"1,732","1,530",53,4,37,,26,,24,67,,,,,44,13,1,474,465,,"1,209",499,55,1,8,29,16,"1,763",22,
Florida,SEC,67,"1,610",417,458,82,13,749,61,4,360,53,396,20,37,264,64,22,15,1,38,10,,419,474,426.2,233,104,87,114,574,30,"1,632","1,481",29,2,38,,16,,20,134,4,,,,14,3,,359,315,,"1,280",376,27,,3,17,11,"1,683",20,
Florida A&M,MEAC,52,"1,419",189,360,46,5,476,20,,117,36,164,8,25,275,50,15,3,,63,11,,421,326,357,404,272,181,141,226,,"1,694","1,460",59,15,24,,26,,38,61,,,,,35,16,4,384,413,,"1,071",401,110,4,12,74,14,"1,582",14,
Florida St.,ACC,70,"1,798",410,519,115,21,904,76,5,285,43,373,21,20,332,78,24,11,,152,18,,438,495,463,299,123,99,127,475,21,"1,829","1,644",56,4,23,,25,,23,75,2,,,,27,8,,455,413,,"1,389",469,44,,9,20,6,"1,902",34,
Fordham,Atlantic 10,56,"1,477",298,401,64,9,660,59,3,201,35,270,8,11,359,95,12,8,,54,3,,323,368,360.2,398,219,159,104,219,10,"1,647","1,473",68,9,28,,15,,21,58,6,,,,27,21,1,389,443,,"1,082",379,93,1,5,51,9,"1,554",8,
Fresno St.,Mountain West,54,"1,346",291,389,77,17,650,50,3,213,71,273,11,41,229,92,12,8,,41,9,,363,379,348.1,388,236,195,198,270,7,"1,662","1,367",71,5,31,,18,,43,65,1,,,,42,12,,380,349,,"1,045",380,47,,11,48,7,"1,472",31,
Furman,SoCon,56,"1,428",256,371,60,10,622,57,,155,32,218,13,18,282,71,20,7,,84,11,,328,429,377,308,154,124,96,404,16,"1,571","1,403",37,3,25,,28,,25,66,1,,,,36,10,1,320,370,,"1,131",343,50,1,4,41,18,"1,524",13,
Ga. Southern,Sun Belt,53,"1,454",215,395,65,4,612,48,,117,18,204,8,10,251,56,15,9,,21,7,,365,409,351,384,232,186,170,160,5,"1,638","1,403",66,7,30,,20,,30,48,,,,,24,11,,418,438,,"1,053",427,46,,6,47,10,"1,526",21,
Gardner-Webb,Big South,58,"1,498",323,468,75,17,697,40,2,199,50,294,18,27,248,64,17,9,,115,13,,397,385,364.1,519,352,273,176,138,3,"1,845","1,595",75,6,51,,34,,19,49,,,,,36,18,1,509,411,,"1,093",473,88,1,7,64,10,"1,654",9,
George Mason,Atlantic 10,50,"1,344",185,338,59,6,469,20,1,154,21,162,9,28,203,56,13,6,,32,10,,459,314,334.2,399,234,166,83,227,3,"1,540","1,404",61,16,36,,21,,18,46,,,,,26,8,1,365,382,,"1,004",364,89,1,1,56,8,"1,457",7,
George Washington,Atlantic 10,54,"1,504",331,493,90,16,741,42,,149,25,295,16,22,184,42,13,9,,108,15,,464,339,352.2,401,228,186,153,205,8,"1,662","1,414",81,11,22,,24,,42,65,4,,,,42,11,,370,439,,"1,058",392,57,,5,58,9,"1,507",15,
Georgetown,Big East,52,"1,372",173,363,44,8,480,19,,122,18,155,8,24,218,72,21,11,,62,15,,464,319,336.1,402,294,237,183,245,3,"1,640","1,373",68,21,44,,36,,37,52,,,,,28,18,,284,453,,"1,009",288,50,,9,106,11,"1,347",6,
Georgia,SEC,61,"1,609",364,536,80,16,846,66,5,172,27,332,10,47,233,50,17,7,,89,15,,462,386,400,272,138,106,147,391,22,"1,681","1,454",37,5,24,,21,,45,91,,,,,27,7,,391,387,,"1,200",379,56,,4,41,12,"1,635",12,
Georgia St.,Sun Belt,55,"1,542",264,444,72,6,666,46,8,170,25,240,13,30,253,74,14,7,,34,8,,441,398,379.2,459,236,205,121,192,4,"1,737","1,564",75,3,47,,7,,11,40,,,,,30,11,,431,479,,"1,139",405,53,,4,39,9,"1,597",16,
Georgia Tech,ACC,54,"1,376",233,312,52,9,544,54,1,217,37,211,11,17,339,120,19,14,,8,5,,347,362,368,381,200,145,114,240,8,"1,643","1,468",80,8,36,,10,,25,42,,,,,34,2,,313,507,,"1,104",326,77,,3,46,10,"1,507",13,
Grambling,SWAC,39,883,163,217,32,6,282,7,,93,22,139,10,33,145,35,8,2,,33,6,,275,231,218,354,302,222,104,77,1,"1,181","1,002",74,9,25,,22,,35,28,,,,,26,13,1,272,275,,654,280,76,1,18,103,3,"1,010",10,
Grand Canyon,WAC,59,"1,648",318,521,96,14,768,41,,129,28,293,16,19,188,50,14,7,,47,10,,467,443,382.2,440,262,206,164,192,7,"1,784","1,530",66,6,34,,14,,53,68,3,,,,28,9,,561,320,,"1,148",592,57,,9,31,15,"1,797",34,1
Green Bay,Horizon,46,"1,168",121,272,39,10,376,15,,101,18,108,2,33,252,81,8,4,,18,13,,358,283,293.2,347,250,212,201,182,1,"1,438","1,183",68,18,18,,32,,20,50,,,,,23,11,,343,306,,881,362,58,,4,59,18,"1,301",9,
Hampton,MEAC,52,"1,330",180,362,53,15,463,6,2,83,17,146,4,54,240,52,18,10,,117,26,,373,353,348,403,234,175,90,160,5,"1,599","1,442",67,8,31,,16,,26,45,1,,,,31,8,2,422,413,,"1,044",435,89,2,5,57,13,"1,568",22,
Hartford,America East,42,"1,108",147,302,47,5,422,21,,76,9,123,16,22,187,53,9,3,,24,6,,331,295,269,422,313,229,113,104,,"1,378","1,202",89,16,35,,19,,15,36,1,,,,24,24,,324,334,,807,326,72,,15,62,9,"1,205",13,
Harvard,Ivy League,41,"1,096",197,309,57,9,450,22,1,110,37,176,12,22,134,38,15,9,,45,9,,351,304,273.1,290,180,145,136,149,,"1,283","1,064",63,6,16,,19,,37,48,,,,,34,11,,351,279,,819,363,48,1,8,58,9,"1,230",16,
Hawaii,Big West,50,"1,247",173,304,37,3,449,34,2,94,33,159,8,24,215,49,17,8,,16,8,,342,374,324.2,384,197,157,96,203,9,"1,478","1,323",63,3,32,,19,,17,37,,,,,30,12,,362,366,,974,378,56,,4,22,9,"1,408",14,
Hofstra,CAA,55,"1,494",334,441,81,11,754,70,4,215,20,315,5,41,236,91,15,6,,25,8,,379,431,371.2,281,135,119,106,318,14,"1,513","1,373",45,2,42,,16,,21,99,2,,,,7,6,,367,396,,"1,115",393,33,,3,11,9,"1,541",18,
Holy Cross,Patriot,45,"1,194",142,292,49,7,379,8,1,94,31,126,11,46,212,71,9,6,,10,6,,350,355,306.1,366,237,190,161,198,2,"1,472","1,247",60,12,18,,31,,16,49,,,,,28,18,2,348,330,,919,375,57,2,5,120,12,"1,351",11,
