Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Clemson,ACC,52,"1,353",280,396,60,11,676,66,8,144,46,262,10,10,222,53,21,15,1,87,15,,340,368,346.1,252,96,74,97,369,14,"1,410","1,272",31,2,18,,24,,25,91,4,,,,12,4,,411,218,7,"1,039",412,46,,8,49,8,"1,497",20,
Cleveland St.,Horizon,48,"1,213",149,275,47,1,408,28,,98,11,134,4,31,313,79,14,5,,41,2,,324,294,304.1,432,293,226,131,138,2,"1,526","1,324",75,5,35,,37,,27,38,,,,,28,16,,396,334,2,916,423,83,,8,64,13,"1,422",14,
Coastal Carolina,Sun Belt,45,"1,194",234,345,58,7,573,52,,134,29,219,14,21,168,48,9,5,,32,11,,289,386,290.1,355,250,191,148,230,3,"1,426","1,206",58,7,40,,39,,34,60,1,,,,27,11,,297,316,5,871,307,64,,6,65,8,"1,242",10,
Col. of Charleston,CAA,41,"1,000",90,215,32,5,290,11,,63,9,75,5,15,178,47,11,4,,24,5,,341,241,249.1,308,264,216,175,169,1,"1,287","1,040",59,8,35,,32,,44,57,6,,,,14,14,,233,318,,748,249,54,,5,61,5,"1,051",11,
Colgate,Patriot,32,822,134,233,54,,365,26,,69,17,122,6,15,143,42,11,8,,14,4,,193,251,206.1,245,128,107,80,145,5,953,844,37,4,15,,14,,12,39,,,,,13,4,,255,191,2,619,260,27,,4,31,5,906,9,
Colorado St.,Mountain West,36,"1,018",145,264,53,9,413,26,1,79,13,134,5,14,167,47,14,7,,24,5,,276,299,250.2,244,149,118,115,208,2,"1,136",981,44,6,31,,13,,20,62,,,,,13,7,,305,217,2,752,296,40,,3,30,8,"1,088",11,
Coppin St.,MEAC,31,754,103,198,34,7,279,11,,71,5,84,2,17,129,38,11,5,,9,4,,201,213,178.2,268,255,202,148,77,2,"1,004",784,54,11,25,,34,,37,27,,,,,20,15,,197,234,1,536,203,50,,14,55,8,789,11,
Creighton,Big East,28,710,109,196,25,2,294,23,,80,15,102,1,31,165,40,11,2,,14,4,,199,158,179.2,215,145,126,109,151,2,881,725,34,1,43,,12,,20,55,3,,,,22,5,,192,172,,539,196,28,,2,33,3,763,8,
CSUN,Big West,26,652,57,145,26,2,199,8,2,70,18,56,5,14,148,31,11,2,,18,5,,202,152,167.2,205,131,110,65,77,,792,681,28,6,18,,16,,22,21,,,,,14,10,,206,196,1,503,214,26,,4,50,7,743,9,
Dartmouth,Ivy League,5,155,35,52,14,2,73,1,,13,1,29,3,1,25,7,2,1,,8,2,,40,37,33.1,39,27,21,21,39,1,166,141,9,2,2,,5,,2,13,,,,,,2,,16,45,,100,15,9,,,3,,124,,
